Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
1,newAI Engineer,Procter & Gamble,,,"Mumbai, Maharashtra","
Develops tools, systems and processes to enable the application of artificial intelligence in support of P&G business processes; develops CI/CD pipelines to…
",
2,BPS- Data & AI,IBM,,,"Mumbai, Maharashtra","
Ability to work with sales engineers and customer’s technical leads to understand existing software estate Identify Business pain and build business cases for…
",
3,Content Writer,Lotus Interworks Inc,,,Remote,"
Our product Simplia is re-inventing Online Local Services Marketplaces, with deep technology and strong leadership and strategy in place.
",
4,Technical Support Engineer - With AI based product startup,Connect2careerz Private Limited,,,"Bengaluru, Karnataka","
Assist customers in solving problems related to product features, usability, technical issues, and product performance, including participation in all aspects…
",
5,newAI Engineer,Schemaphic Systems India Pvt Ltd,,,"Kolkata, West Bengal","
Work cross-functionally with product managers, data scientists,and product engineers and communicate results to peers and leaders.
",
6,newEntry Level Technical Illustrator,BOEING,,,"Chennai, Tamil Nadu","
Prepare and draw illustrations for reproduction from complicated source data.
Verify technical accuracy of work submitted by other illustrators.
",
7,REMOTE Product Engineer,CodeClouds,,,"Remote in Dhanbad, Jharkhand+3 locations","
The ideal candidate would have experience in Machine Learning/AI, Python and R, and MERN or MEAN stack.
A Bachelor’s in Computer Science or a related field.
",
8,newIntern - Software Application Development Engineer,Intel,,,"Bengaluru, Karnataka","
Job assignments are usually for the summer or for short periods during breaks from school.
Preferred qualifications are in addition to the minimum requirements…
",
9,newAI Frameworks Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
Conducts design and development to build and optimize AI software.
Designs, develops, tests and optimizes for AI frameworks (e.g., OpenVINO, TensorFlow, PyTorch…
",
10,newConversational AI Engineer,Remunance,,,"Pune, Maharashtra","
Accountable for the accuracy of speech recognition and chatbot platforms, and the corresponding analysis to develop error patterns that will be leveraged to…
",
11,newSQL Database Engineer (Remote),Icertis,,,"Remote in Pune, Maharashtra","
With unmatched technology and category-defining innovation, Icertis pushes the boundaries of what’s possible with contract lifecycle management (CLM).
",
12,newJava Engineer,Awign Expert,,,"Remote in Bengaluru, Karnataka","
Awign Expert is an Enterprise focused platform that helps businesses Hire, Assess and Manage high skilled resources for Gig Based Projects.
",
13,Senior ML Engineer - AI,InVideo,,,Remote,"
Understand the specifications from product, design, and QA - Build AI solutions along with model training and algorithms optimisation followed by a team…
",
14,AI Engineer,Happymonk Technology,,,"Bengaluru, Karnataka","
Implement analytical models into production by collaborating with software developers and machine learning engineers.
Bachelor’s degree in computer science.
",
15,AI Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
Building high-performance Machine Learning applications.
Building simulation solutions (platforms, and related infrastructure).
",
16,newComputer Vision (C V) Engineer,Drishti Lifesaving Pvt Ltd,,,"Remote in Mumbai, Maharashtra","
As a member of the INDUS project team you will need to research, design, develop, deploy and maintain computer vision applications that will form a critical…
",
17,Crimson AI - Senior Principal Engineer,Crimson Interactive,,,"Mumbai, Maharashtra","
Proactively work on ensuring the flexibility of the product, ensuring tech debt doesn’t creep in.
Take initiatives to keep the product quality high in the build…
",
18,newAI Engineer/Specialist,Taylor and Francis,,,"Bengaluru, Karnataka","
The role of AI Engineer will join our team of technologists responsible for incubating new and novel software/data initiatives that drive growth and explore new…
",
19,DevOps Engineer,drivebuddyAI,,,Remote,"
The ideal engineer will bring their experiences, best practices, and a collaborative attitude to help drive DevOps initiatives.
",
20,newAnalog Layout Design Engineer,Cyient,,,"Bengaluru, Karnataka","
Excellent work experience in Analog / Mixed Signal Layout design in advanced FinFET processes like 16nm, 12nm, 10nm, 7nm, 5nm, 3nm.
",
21,AI and ML Engineer / Research Fellow,"DYSL-AI, DRDO",,,"Bengaluru, Karnataka","
DRDO Young Scientist Laboratory-Artificial Intelligence (DYSL-AI) is at the forefront of artificial intelligence research, accelerating adoption of artificial…
",
22,newAssociate Structural Analysis Engineer,BOEING,,,"Bengaluru, Karnataka","
The specific job level is 2, which includes candidate within 6-12 years of experience depending on the educational qualification.
",
23,newPhysical Design Methodology and CAD Engineer,Google,,,"Bengaluru, Karnataka","
Bachelor's degree in Electrical Engineering, a related field, or equivalent practical experience.
Experience with block-level implementation and convergence…
",
24,Health Engineer (LGOT),Airbus,,,"Bengaluru, Karnataka","
This team is responsible for defining the maintenance systems of tomorrow for the aircraft, designing the BITE specifications for the systems, providing the…
",
25,AI/ML Engineer,dMACQ Software,,,"Mumbai, Maharashtra","
Candidates should have at least two years' experience with a BE/BTech in Electrical Engineering or Computer Science.
",
26,newComputer Vision Engineer,Vimaan Robotics,,,"Bengaluru, Karnataka","
Vimaan is looking to onboard multiple Computer Vision Engineers at its headquarters in Santa Clara to drive the development of computer vision and machine…
",
27,Software Engineer - AI/DL - #02CM,QuEST Global Engineering,,,"Thiruvananthapuram, Kerala","
Contribute in all phases of the development lifecycle.
Design, build and maintain efficient and reliable code.
Analytical, problem solving and debugging skills.
",
28,Computer Vision Engineer (AI/ML),Soaron Aerospace Innovations,,,"Remote in Hyderabad, Telangana","
Fluency in C/C++, Python, OpenCV, OpenGL, MATLAB.
Experience in Image Segmentation, Object Tracking, Object Analysis, Motion Detection etc.
",
29,Computer vision engineer,TDB.ai,,,"Indore, Madhya Pradesh","
This is an opportunity to apply your cross-functional skillsets, creativity, and experience in computer vision, machine learning, robotics, and control systems…
",
30,Data Engineer,Codvo.ai,,,Remote,"
2 to 3 years of total work experience, of which 1-2 in cloud-based data warehousing projects.
Proficient in SQL skills and mid to complex SQL queries.
",
31,POWER BI Engineer,Aetos Digilog,,,"New Delhi, Delhi","
PowerBI / R Developer (2-6 years exp)Job briefYour primary responsibility will be to expand and maintain an analytics research workbench for stochastic…
",
32,ML Engineer,EY,,,"Bengaluru, Karnataka","
4+yrs of experience in a similar profile with strong service delivery background.
Lead and guide a team of Junior Developers.
Skills in Java/C are a plus.
",
33,new5G-RAN Specialist Engineer,Hewlett Packard Enterprise,,,"Bengaluru, Karnataka","
We are looking for 5G RAN Specialist Engineer for 5G RAN Infra Automation team with experience in 5G NR and RAN NW Automation.
",
34,AI Engineer,DawnTK,,,"Hyderabad, Telangana","
You will work on state-of-the-art technologies and build things that have never existed in the past spanning across building Machine Learning solutions,…
",
35,newCentral Maintenance Engineer,Unbox Robotics,,,"Pune, Maharashtra","
Of Robots and other equipment.
Update Computerised Maintenance Management System database with PM activities, Equipment data and maintenance history.
",
36,newML Expert,WAVELABS TECHNOLOGIES,,,"Hyderabad, Telangana","
3+ years of work experience in writing code in Python.
Experience in using various Python libraries like Pandas, NumPy.
",
37,Software Development Engineer - Python,NULL Innovation Inc,,,Remote,"
We are a fast, agile, and dynamic team looking for 6 to 12 months of experienced fresher who can work on existing python infrastructure.
",
38,QA Engineer,Tricog Health India Private Limited,,,"Bengaluru, Karnataka","
Reviewing and analyzing system specifications.
Identifying the test scenarios and writing the test cases.
Reporting bugs and errors to development teams.
",
39,newL2 Support Engineer – Asset Management,Symphony SUMMIT,,,"Bengaluru, Karnataka","
SummitAI unifies service management, asset management, and operations management in a single, easy-to-use offering.
Tracking the assets till end of the life.
",
40,Engineer Solar,DNV,,,"Mumbai, Maharashtra","
In this role, you will be directly reporting to Head of Section- Solar.
Responsible for the delivery of solar consulting services targeted towards project…
",
41,newData Scientist,Audviklabs,,,"Noida, Uttar Pradesh","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",
42,CloudOps Engineer,Digital.ai,,,"Chennai, Tamil Nadu","
Digital.ai makes it possible to connect software development and delivery efforts to strategic business outcomes and create secure digital experiences customer…
",
43,Machine Learning Engineer,AMCI pvt ltd,,,"Mysore, Karnataka","
Designing, architecting and developing high-quality Deep Learning models and algorithms for image/video recognition problems.
",
44,QE Lead Engineer,Drishti,,,Remote,"
The QA Lead will lead a team of high performing Functional Test engineers focused on Feature testing , Regression Testing and all Test methodologies around…
",
